MATR	breed	herd	parity	milk	dim	CLDIM	fat	protein	cellu	casein	r	sh	ph
IT022990019299	BrownSwiss	1815705	4	30.7	242	6	4.37	4.06	226	3.23	13.2	3.16	6.72
IT022990019307	BrownSwiss	1815705	4	34.5	143	4	3.68	3.38	29	2.66	11.4	3.04	6.7
IT022990019321	BrownSwiss	1815705	3	41.6	168	4	3.32	3.39	210	2.57	16.2	3.02	6.79
AT000914750942	BrownSwiss	1815705	3	34.1	154	4	4.44	4.1	1151	3.12	16	3.18	6.75
IT021000811263	BrownSwiss	1815705	3	27.2	199	5	3.48	3.98	130	3.1	14.2	3.85	6.67
IT021000862015	BrownSwiss	1815705	3	18.3	251	6	4.21	4.26	121	3.25	10.4	3.61	6.62
IT021000878208	BrownSwiss	1815705	3	42.1	138	4	3.45	3.13	135	2.48	12	2.81	6.72
IT021000883712	BrownSwiss	1815705	3	44.2	120	3	2.99	3.56	117	2.75	14	2.83	6.72
IT021001051541	BrownSwiss	1815705	2	38.7	40	1	3.23	3.29	18	2.45	10	3.23	6.66
IT021001056051	BrownSwiss	1815705	3	50.9	32	1	3.52	3.26	59	2.46	10	2.82	6.69
IT021001078045	BrownSwiss	1815705	2	38.9	43	1	3.1	3.28	53	2.59	9	3.36	6.64
IT021001078397	BrownSwiss	1815705	2	37.3	105	3	2.95	3.14	88	2.46	12.2	2.89	6.77
IT021001078497	BrownSwiss	1815705	2	41.8	43	1	2.83	3.38	64	2.46	10.2	3.47	6.67
IT021001078694	BrownSwiss	1815705	2	27	209	5	4.06	3.86	118	2.96	17.2	3.02	6.77
IT021001104516	BrownSwiss	1815705	2	37.1	97	3	3.43	3.31	376	2.52	9.2	3.65	6.63
IT021001113699	BrownSwiss	1815705	2	28.9	32	1	3.79	3.26	45	2.39	11	2.74	6.72
IT021001114410	BrownSwiss	1815741	5	35.3	121	3	3.75	3.94	12	3.12	11	4.06	6.51
IT021001121200	BrownSwiss	1815741	3	27.1	104	3	3.32	3.65	1581	2.6	31	2.89	6.79
IT021001124243	BrownSwiss	1815741	2	22.8	236	6	3.59	4.04	173	3.06	13.2	4.11	6.56
IT022000132292	BrownSwiss	1815741	2	30.6	203	5	4.27	4.03	1898	3.1	15.2	3.86	6.59
IT021000779603	BrownSwiss	1815741	2	33.3	116	3	3.45	3.46	1959	2.48	31	2.78	6.76
IT021000887505	BrownSwiss	1815741	2	31.8	75	2	3.18	3.29	18	2.68	15	3.49	6.6
IT021001051999	BrownSwiss	1815741	2	34	107	3	3.32	3.9	405	3.03	15.4	4.08	6.55
IT021001074256	BrownSwiss	1815741	2	24.4	124	3	3.45	4.11	39	3.29	18.4	3.68	6.62
IT021001092710	BrownSwiss	1815741	1	29.1	45	1	3.87	3.26	53	2.9	18.4	3.29	6.64
IT021001099891	BrownSwiss	1815741	1	29	184	5	3.82	3.83	20	3	18.2	3.45	6.65
IT021001112648	BrownSwiss	1815741	1	21.4	192	5	4.51	3.78	74	2.95	22.4	3.56	6.65
IT021001137576	BrownSwiss	1815741	1	24.9	93	3	3.85	3.69	11	2.98	11.2	4.27	6.51
IT021001147029	BrownSwiss	1815741	2	23.6	224	5	4.27	4.1	55	3.18	17.4	3.72	6.59
IT021001153217	BrownSwiss	1815741	1	23.8	172	4	3.7	3.82	127	2.99	16.4	3.65	6.6
IT021001155244	BrownSwiss	1815741	3	26.8	131	3	3.91	3.79	43	3	13	3.64	6.58
IT021001199414	BrownSwiss	1815741	2	34.3	92	3	3.47	3.45	11	2.72	16.2	3.28	6.64
IT022000042492	BrownSwiss	1815741	2	26.3	95	3	3.6	3.28	287	2.55	17	3.02	6.65
IT022000073672	BrownSwiss	1815741	2	30.3	192	5	4.66	3.41	192	2.63	23.4	2.93	6.71
IT022000126806	BrownSwiss	1815741	2	29.8	81	2	3.61	2.94	28	2.35	9.2	3.22	6.57
IT022000129108	BrownSwiss	1815741	1	17.2	233	6	4.16	3.84	15	3	14.2	3.72	6.58
IT022000132086	BrownSwiss	1815741	1	22.2	232	6	4.92	4.41	28	3.38	18	4.05	6.6
IT022000132104	BrownSwiss	1815741	1	23.9	240	6	4.43	4.04	10	3.27	21.4	4.08	6.59
IT022000132123	BrownSwiss	1815741	1	22	157	4	3.19	3.59	10	2.85	23.2	3.39	6.63
IT022000132169	BrownSwiss	1815741	1	21.7	102	3	3.84	3.67	249	2.86	14.2	3.45	6.63
IT022000132187	BrownSwiss	1815741	1	21.6	154	4	3.71	3.88	21	2.98	19.2	3.83	6.58
IT022000137392	BrownSwiss	1815741	1	30.3	80	2	3.53	3.16	18	2.69	14	3.14	6.61
IT024000218164	HolsteinFriesian	2010103	2	44.5	14	1	4.22	3.29	123	2.56	12	3.16	6.64
IT024000218212	HolsteinFriesian	2010103	1	35.3	134	3	3.1	3.13	131	2.53	12.4	3.65	6.62
IT024000190558	HolsteinFriesian	2010103	2	27.6	184	5	4.26	3.5	19	2.79	8.2	3.53	6.62
IT024000218126	HolsteinFriesian	2010103	2	25	196	5	4.23	3.58	53	2.72	12	3.57	6.62
IT024000218165	HolsteinFriesian	2010103	1	19.1	285	7	5.17	4.1	417	3.23	13	3.59	6.69
IT024000218178	HolsteinFriesian	2010103	1	25.2	297	7	4.07	3.45	36	2.72	10.2	3.5	6.63
IT024000218189	HolsteinFriesian	2010103	1	34.4	184	5	4.56	3.8	41	2.97	12.4	4.15	6.6
IT024000218199	HolsteinFriesian	2010103	1	22.7	134	3	3.95	3.69	78	2.92	15	3.43	6.66
IT024000218201	HolsteinFriesian	2010103	1	23.7	211	5	3.45	3.18	1071	2.54	10.2	3.91	6.57
IT024000190533	HolsteinFriesian	2010103	2	29.2	223	5	3.22	3.62	23	2.81	15.2	3.02	6.74
IT024000005823	HolsteinFriesian	2010103	2	38.4	173	4	3.38	3.21	28	2.56	12	3.05	6.71
IT024000218167	HolsteinFriesian	2010103	1	36.2	101	3	3.77	3.55	253	2.8	10.2	3.66	6.61
IT028000066503	HolsteinFriesian	2010103	2	31.4	140	4	3.92	3.77	458	2.92	14.2	3.69	6.68
IT028000254669	HolsteinFriesian	2010103	1	36.8	195	5	3.16	3.18	1111	2.47	9.2	3.6	6.67
IT024000218191	HolsteinFriesian	2010103	1	27.2	229	6	3.92	3.38	133	2.71	14.2	3.23	6.64
IT024000218214	HolsteinFriesian	2010103	1	30.2	129	3	3.75	3.45	56	2.76	14.3	3.73	6.59
IT024000292569	HolsteinFriesian	2010103	1	30.9	99	3	3.85	3.37	57	2.73	13.2	3.2	6.68
IT028000254689	HolsteinFriesian	2010103	1	28.3	93	3	3.34	3.12	62	2.47	15.4	3.09	6.73
IT024000118970	HolsteinFriesian	2010103	2	42.6	49	2	3.5	3.12	54	2.58	10.4	3.22	6.64
IT024000228249	HolsteinFriesian	2010103	2	37.8	10	1	4.22	3.27	35	2.98	11	3.43	6.65
IT028000254687	HolsteinFriesian	2010103	1	28	111	3	3.7	3.36	23	2.61	10.4	3.28	6.7
IT028000066504	HolsteinFriesian	2010103	3	25.9	135	3	3.36	3.52	155	2.73	13	3.44	6.68
IT024000218192	HolsteinFriesian	2010103	1	30.3	161	4	3.14	3.55	31	2.81	16.2	3.72	6.7
IT024000218129	HolsteinFriesian	2010103	2	28.4	116	3	3.85	3.26	61	2.61	14	3.32	6.69
IT024000218139	HolsteinFriesian	2010103	1	23.1	338	7	4.43	3.69	30	2.79	8.2	3.55	6.56
IT024000190549	HolsteinFriesian	2010103	2	36.8	170	4	3.59	3.17	36	2.53	15.2	3.12	6.71
IT024000218179	HolsteinFriesian	2010103	1	26	250	6	3.53	3.24	35	2.54	10.2	3.46	6.58
IT024000218158	HolsteinFriesian	2010103	1	28.5	254	6	3.96	3.6	37	2.85	8	3.47	6.62
IT024000292564	HolsteinFriesian	2010103	1	31.7	126	3	3.67	3.04	188	2.48	13	3.29	6.67
IT024000292570	HolsteinFriesian	2010103	1	35.9	106	3	3.45	3.7	26	2.9	11.4	3.84	6.6
IT02VIC0006942	HolsteinFriesian	2010147	3	46.9	74	2	3.06	2.77	24	2.19	17	2.84	6.73
IT024000106702	HolsteinFriesian	2010147	3	38	88	2	3.41	3.17	1830	2.62	19	3.21	6.67
IT028000064912	HolsteinFriesian	2010147	3	50.1	42	1	3.59	3.15	51	2.02	13.2	2.75	6.67
IT028000288992	HolsteinFriesian	2010147	1	25.8	232	6	3.97	3.77	51	3.01	12.2	3.81	6.58
IT028000288999	HolsteinFriesian	2010147	3	18.4	251	6	4.54	3.5	321	2.66	17.2	2.89	6.7
IT024000106707	HolsteinFriesian	2010147	2	38.4	90	2	3.28	3.06	99	2.46	14.4	3.3	6.69
IT028000169574	HolsteinFriesian	2010147	1	29.7	237	6	3.87	3.57	39	2.84	14	3.47	6.68
IT028000219453	HolsteinFriesian	2010147	2	40.5	37	1	3.53	3.31	20	2.49	10	3.18	6.64
IT028000072773	HolsteinFriesian	2010147	3	31	189	5	3.81	3.34	76	2.53	13.2	3.51	6.6
IT02VIC0002942	HolsteinFriesian	2011005	3	35.8	216	5	3.24	3.28	2068	2.55	24.4	2.97	6.69
IT028000070845	HolsteinFriesian	2011005	2	28.4	325	7	3.79	2.97	60	2.34	16	3.33	6.66
IT028000070851	HolsteinFriesian	2011005	1	31.2	321	7	4.41	3.4	88	2.72	11.2	3.28	6.62
IT028000254926	HolsteinFriesian	2011005	1	37	296	7	3.06	3.23	10	2.57	17.2	3.41	6.64
IT028000288615	HolsteinFriesian	2011005	3	43.4	172	4	4.04	2.94	1225	2.67	12.2	3.17	6.61
IT028000033469	HolsteinFriesian	2011005	2	20.2	328	7	4.53	3.92	73	3.01	11	3.77	6.52
IT028000063965	HolsteinFriesian	2011005	3	34.2	321	7	3.88	3.41	41	2.64	18.4	2.84	6.75
IT078PD017C007	HolsteinFriesian	2011005	2	50.8	70	2	3.08	2.7	16	2.19	16.4	2.97	6.67
IT028000145345	HolsteinFriesian	2011005	3	36.4	188	5	4.23	3.5	1582	2.76	18	3.47	6.59
IT028000217454	HolsteinFriesian	2011005	3	42.6	188	5	3.62	3.15	302	2.48	10.2	3.55	6.6
IT028000254932	HolsteinFriesian	2011005	3	28.4	293	7	4.39	3.69	47	2.86	23.2	3.22	6.64
